family	decimalLatitude	decimalLongitude
Betulaceae	44.051762	-73.181367
Anacardiaceae	44.0522	-73.17796
Betulaceae	44.052202	-73.178054
Fagaceae	44.052011	-73.177762
Betulaceae	44.052229	-73.17805
Aristolochiaceae	44.051918	-73.179364
Juglandaceae	44.052203	-73.178545
Pinaceae	44.051989	-73.177931
Rosaceae	44.052265	-73.178614
Asteraceae	34.255325	-118.7982
Primulaceae	44.020116	-73.179768
Asteraceae	44.020096	-73.180651
Amaranthaceae	34.192779	-118.175494
Asteraceae	34.193222	-118.17198
Poaceae	34.108784	-118.272908
Asteraceae	34.097413	-118.237267
Platanaceae	34.139606	-118.166676
Asteraceae	33.724858	-118.037637
Adoxaceae	32.937167	-117.142528
Fabaceae	42.198321	-122.707244
Cupressaceae	42.237114	-71.053193
Poaceae	35.367721	-75.565907
Hypericaceae	42.270458	-122.611124
Asteraceae	34.180783	-118.09625
Asteraceae	34.184844	-118.095408
Adoxaceae	34.184844	-118.095408
Asteraceae	34.190925	-119.004907
Asteraceae	44.021721	-73.185302
Asteraceae	40.236645	-74.718548
Urticaceae	34.187388	-118.177133
Hydrophyllaceae	34.353215	-118.313828
Rhamnaceae	34.349999	-118.293133
Pinaceae	43.654025	-72.840514
Cornaceae	43.853407	-72.588951
Orchidaceae	43.59615	-72.487435
Sapindaceae	43.731833	-72.524167
Taxaceae	43.855126	-72.586538
Adoxaceae	43.596505	-72.487739
Rosaceae	42.916255	-72.592787
Thymelaeaceae	43.632833	-72.520167
Asteraceae	33.745882	-118.113167
Pinaceae	43.405911	-72.751706
Pinaceae	44.525579	-72.815666
Pinaceae	44.5295	-72.815937
Pinaceae	43.616833	-72.506333
Asteraceae	33.632326	-117.555835
Cactaceae	33.257811	-116.406122
Poaceae	29.589945	-97.58477
Cupressaceae	43.862353	-72.589548
Pinaceae	44.540833	-71.786834
Fabaceae	32.829976	-116.86159
Pinaceae	42.452232	-71.115143
Ericaceae	38.69427	-122.825481
Asparagaceae	34.597072	-93.566509
Cactaceae	33.72262	-115.783713
Ericaceae	42.197778	-122.725652
Pinaceae	42.53132	-72.188699
Ericaceae	38.277518	-120.309298
Pinaceae	42.531289	-72.188784
Pinaceae	42.531167	-72.186167
Asteraceae	34.492144	-119.793806
Poaceae	34.045968	-118.93167
Poaceae	34.101968	-118.812811
Cleomaceae	33.770424	-118.327112
Poaceae	33.767103	-118.334996
Ericaceae	37.917167	-122.624
Euphorbiaceae	34.670545	-120.418868
Adoxaceae	34.181833	-118.096667
Ericaceae	47.651167	-122.313
Crassulaceae	35.3505	-120.846333
Fabaceae	35.290996	-120.627501
Taxaceae	44.71317	-73.34318
Cupressaceae	42.418667	-71.121333
Solanaceae	36.296761	-119.108813
Pinaceae	43.835167	-72.355833
Pinaceae	44.5475	-72.811333
Pinaceae	44.547833	-72.810667
Pinaceae	44.8215	-71.718833
Malvaceae	39.252609	-120.361636
Pinaceae	44.5283	-72.815169
Pinaceae	44.527833	-72.815333
Pinaceae	44.529833	-72.8155
Solanaceae	34.645807	-98.614821
Pinaceae	42.775	-73.133167
Polemoniaceae	43.579167	-110.715833
Boraginaceae	43.6905	-110.743
Asparagaceae	43.582167	-110.756833
Liliaceae	32.766682	-116.448075
Iridaceae	34.122167	-118.3355
Papaveraceae	34.121667	-118.3355
Asteraceae	34.119333	-118.334333
Hydrophyllaceae	34.132833	-118.285667
Amaryllidaceae	40.184521	-83.955904
Pinaceae	44.530167	-72.817333
Malvaceae	34.406607	-117.848603
Polemoniaceae	43.582	-110.756833
Pinaceae	41.5407	-72.709139
Montiaceae	34.133667	-118.289
Plantaginaceae	34.130167	-118.284167
Paeoniaceae	34.091833	-118.6155
Ranunculaceae	43.581167	-110.714
Verbenaceae	38.582167	-121.508667
Pteridaceae	34.105	-118.644167
Oxalidaceae	36.270421	-121.807976
Crassulaceae	38.808516	-120.127378
Polemoniaceae	38.807976	-120.132502
Asteraceae	34.216667	-118.176
Pteridaceae	34.123833	-118.561833
Brassicaceae	34.092	-118.612333
Orobanchaceae	34.090667	-118.624833
Ericaceae	34.123605	-118.651568
Grossulariaceae	34.127667	-118.280667
Pteridaceae	34.085	-118.635
Nyctaginaceae	34.098167	-118.6495
Ranunculaceae	43.620077	-110.794373
